owner,ip_or_cidr,ptr_record,asn,asn_description,country,network_name,network_cidr
Internet Research Project (internet-research-project.net),45.33.84.152,45-33-84-152.ip.linodeusercontent.com,63949,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",US,LINODE,45.33.0.0/17
Internet Research Project (internet-research-project.net),45.33.84.160,45-33-84-160.ip.linodeusercontent.com,63949,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",US,LINODE,45.33.0.0/17
Internet Research Project (internet-research-project.net),45.33.84.155,45-33-84-155.ip.linodeusercontent.com,63949,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",US,LINODE,45.33.0.0/17
Internet Research Project (internet-research-project.net),45.33.84.40,45-33-84-40.ip.linodeusercontent.com,63949,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",US,LINODE,45.33.0.0/17
Internet Research Project (internet-research-project.net),45.33.84.177,45-33-84-177.ip.linodeusercontent.com,,,,,
Internet Research Project (internet-research-project.net),45.33.84.178,,,,,,
Internet Research Project (internet-research-project.net),45.33.84.181,,,,,,
Internet Research Project (internet-research-project.net),45.33.84.189,,,,,,
Internet Research Project (internet-research-project.net),45.33.84.27,,,,,,
Internet Research Project (internet-research-project.net),45.33.84.220,,,,,,
Internet Research Project (internet-research-project.net),45.33.84.55,,,,,,
Internet Research Project (internet-research-project.net),45.33.84.90,vdi.btfm.uk,,,,,
Internet Research Project (internet-research-project.net),45.33.84.61,,,,,,
Internet Research Project (internet-research-project.net),45.33.84.73,,,,,,
Internet Research Project (internet-research-project.net),45.33.87.64,45-33-87-64.ip.linodeusercontent.com,63949,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",US,LINODE,45.33.0.0/17
CyberGreen Institute (cybergreen.net),52.73.169.169,scanner2.scanning.cybergreen.net,14618,"AMAZON-AES, US",US,AT-88-Z,"52.0.0.0/10, 52.64.0.0/12"
Recyber (recyber.net),89.248.163.0/24,,202425,"INT-NETWORK, SC",NL,NET-3-163,89.248.163.0/25
Recyber (recyber.net),89.248.165.0/24,,202425,"INT-NETWORK, SC",NL,NET-2-165,89.248.165.0/24
Recyber (recyber.net),89.248.174.171,recyber.net,202425,"INT-NETWORK, SC",NL,NET-2-174,89.248.174.0/24
Recyber (recyber.net),89.248.174.131,recyber.net,202425,"INT-NETWORK, SC",NL,NET-2-174,89.248.174.0/24
Recyber (recyber.net),89.248.174.183,recyber.net,202425,"INT-NETWORK, SC",NL,NET-2-174,89.248.174.0/24
Recyber (recyber.net),89.248.174.178,recyber.net,202425,"INT-NETWORK, SC",NL,NET-2-174,89.248.174.0/24
Recyber (recyber.net),89.248.173.170,recyber.net,202425,"INT-NETWORK, SC",NL,NET-2-173,89.248.173.0/24
Recyber (recyber.net),89.248.173.173,recyber.net,202425,"INT-NETWORK, SC",NL,NET-2-173,89.248.173.0/24
Recyber (recyber.net),89.248.173.177,recyber.net,202425,"INT-NETWORK, SC",NL,NET-2-173,89.248.173.0/24
Recyber (recyber.net),89.248.174.130,recyber.net,202425,"INT-NETWORK, SC",NL,NET-2-174,89.248.174.0/24
Recyber (recyber.net),89.248.174.188,recyber.net,202425,"INT-NETWORK, SC",NL,NET-2-174,89.248.174.0/24
InterneTTL (internettl.org),104.152.52.0/24,,14987,"RETHEMHOSTING, US",US,RETHEM-HOSTING,104.152.52.0/22
Modat (modat.io),148.113.193.79,c1.scanner.modat.io,16276,"OVH, FR",CA,SD-ONENETWORK,148.113.193.0/24
Modat (modat.io),148.113.206.49,a4.scanner.modat.io,16276,"OVH, FR",CA,SD-ONENETWORK,148.113.206.0/24
Modat (modat.io),148.113.210.228,a2.scanner.modat.io,16276,"OVH, FR",CA,SD-ONENETWORK,148.113.210.0/24
Modat (modat.io),148.113.208.45,a1.scanner.modat.io,16276,"OVH, FR",CA,SD-ONENETWORK,148.113.208.0/24
Modat (modat.io),148.113.212.55,a8.scanner.modat.io,,,,,
Modat (modat.io),148.113.210.254,a3.scanner.modat.io,,,,,
Modat (modat.io),134.209.173.54,x2.scanner.modat.io,,,,,
Modat (modat.io),148.113.214.202,a5.scanner.modat.io,,,,,
Modat (modat.io),148.113.214.204,a6.scanner.modat.io,,,,,
Modat (modat.io),104.236.209.11,x1.scanner.modat.io,,,,,
Modat (modat.io),46.105.70.190,b5.scanner.modat.io,16276,"OVH, FR",FR,SD-onenetwork,46.105.70.0/24
Modat (modat.io),31.14.32.0/28,,201401,"NEWVM-AS, NL",NL,Modat,31.14.32.0/28
Modat (modat.io),54.37.81.238,b4.scanner.modat.io,16276,"OVH, FR",FR,FR-OVH,"54.36.0.0/15, 54.38.0.0/16"
Modat (modat.io),23.106.244.195,e1.scanner.modat.io,136988,"LEASEWEB-AS-AP LEASEWEB AUSTRALIA PTY LIMITED, AU",AU,LEASEWEB-AU,23.106.240.0/21
Modat (modat.io),57.128.230.106,b6.scanner.modat.io,16276,"OVH, FR",FR,SD-onenetwork,57.128.230.0/24
Modat (modat.io),57.129.64.10,b1.scanner.modat.io,16276,"OVH, FR",FR,SD-onenetwork,57.129.64.0/24
Modat (modat.io),57.129.64.219,b2.scanner.modat.io,16276,"OVH, FR",FR,SD-onenetwork,57.129.64.0/24
Modat (modat.io),57.129.64.237,b3.scanner.modat.io,16276,"OVH, FR",FR,SD-onenetwork,57.129.64.0/24
Modat (modat.io),91.134.73.222,d1.scanner.modat.io,16276,"OVH, FR",FR,SD-onenetwork,91.134.73.0/24
Modat (modat.io),148.113.214.206,a7.scanner.modat.io,,,,,
Modat (modat.io),91.134.73.230,d2.scanner.modat.io,16276,"OVH, FR",FR,SD-onenetwork,91.134.73.0/24
Modat (modat.io),148.113.214.212,c2.scanner.modat.io,,,,,
Modat (modat.io),15.235.224.227,z5.scanner.modat.io,,,,,
Modat (modat.io),15.235.224.238,z1.scanner.modat.io,,,,,
Modat (modat.io),51.161.174.170,e3.scanner.modat.io,16276,"OVH, FR",CA,SD-ONENETWORK,51.161.174.0/24
Modat (modat.io),15.235.224.239,z2.scanner.modat.io,16276,"OVH, FR",CA,SD-ONENETWORK,15.235.224.0/24
Modat (modat.io),15.235.227.163,z6.scanner.modat.io,16276,"OVH, FR",CA,SD-ONENETWORK,15.235.227.0/24
Modat (modat.io),51.161.172.223,e2.scanner.modat.io,16276,"OVH, FR",CA,SD-ONENETWORK,51.161.172.0/24
Scanners that do not belong to any specific organization,217.21.193.74,scanning-the-internet-for-good.dataprovider.com,43366,"OSSO, NL",NL,Dataprovider,217.21.193.0/25
Scanners that do not belong to any specific organization,51.15.34.47,47-34-15-51.instances.scw.cloud,12876,"Online SAS, FR",FR,ONLINE_NET_DEDICATED_SERVERS_NL,51.15.0.0/18
Scanners that do not belong to any specific organization,185.230.223.46,hilbert-mapper-icmp.b621.net,206924,"BENJOJONET, GB",GB,UK-BENJOJO-20171108,185.230.223.0/24
Scanners that do not belong to any specific organization,176.65.148.158,hosted-by.pfcloud.io,51396,"PFCLOUD, DE",DE,PF-CLOUD-NET-1,176.65.148.0/24
Scanners that do not belong to any specific organization,176.65.148.174,hosted-by.pfcloud.io,51396,"PFCLOUD, DE",DE,PF-CLOUD-NET-1,176.65.148.0/24
Scanners that do not belong to any specific organization,176.65.148.4,hosted-by.pfcloud.io,51396,"PFCLOUD, DE",DE,PF-CLOUD-NET-1,176.65.148.0/24
Scanners that do not belong to any specific organization,160.25.104.198,vxlan.research.plz.connet.email.if.u.have.issus.email.start.admin.at.as208223.eu.org,208223,"FOXO-AS fOxO Internet Service Provider, TW",TW,CCETECH-1,160.25.104.0/24
Scanners that do not belong to any specific organization,160.25.104.201,vxlan.research.plz.connet.email.if.u.have.issus.email.start.admin.at.as208223.eu.org,208223,"FOXO-AS fOxO Internet Service Provider, TW",TW,CCETECH-1,160.25.104.0/24
Scanners that do not belong to any specific organization,2402:4e00:1801:bb00::bb00,,45090,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,TencentCloud,2402:4e00::/32
Scanners that do not belong to any specific organization,240e:c2:1800:84:0:1:3:2,,63835,"CT-HUNAN-CHANGSHA-IDC No.293,Wanbao Avenue, CN",CN,CT-IPv6-Networks,240e::/18
Scanners that do not belong to any specific organization,175.6.54.250,,63835,"CT-HUNAN-CHANGSHA-IDC No.293,Wanbao Avenue, CN",CN,CHINANET-HN,175.0.0.0/12
Scanners that do not belong to any specific organization,174.138.40.30,open-resolver-scan.proper.com,,,,,
Scanners that do not belong to any specific organization,199.195.248.205,benign.internet.survey.scan,,,,,
Scanners that do not belong to any specific organization,149.100.11.243,,,,,,
Academy for Internet Research (academyforinternetresearch.org),139.162.119.12,prod42client01.academyforinternetresearch.org,63949,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",NL,EU-LINODE-20141229,139.162.0.0/16
Academy for Internet Research (academyforinternetresearch.org),139.162.119.146,prod55client01.academyforinternetresearch.org,63949,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",NL,EU-LINODE-20141229,139.162.0.0/16
Academy for Internet Research (academyforinternetresearch.org),139.162.119.196,prod56client01.academyforinternetresearch.org,63949,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",NL,EU-LINODE-20141229,139.162.0.0/16
Academy for Internet Research (academyforinternetresearch.org),139.162.119.94,prod57client01.academyforinternetresearch.org,63949,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",NL,EU-LINODE-20141229,139.162.0.0/16
Academy for Internet Research (academyforinternetresearch.org),139.162.119.49,prod43client01.academyforinternetresearch.org,63949,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",NL,EU-LINODE-20141229,139.162.0.0/16
Academy for Internet Research (academyforinternetresearch.org),139.162.119.51,prod44client01.academyforinternetresearch.org,63949,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",NL,EU-LINODE-20141229,139.162.0.0/16
Academy for Internet Research (academyforinternetresearch.org),178.79.148.229,academyforinternetresearch.org,63949,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",US,LINODE-UK,178.79.144.0/21
Academy for Internet Research (academyforinternetresearch.org),104.237.151.205,dev12client01.academyforinternetresearch.org,63949,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",US,LINODE,104.237.128.0/19
Academy for Internet Research (academyforinternetresearch.org),172.232.188.177,prod05.academyforinternetresearch.org,63949,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",US,LINODE,172.232.0.0/13
Academy for Internet Research (academyforinternetresearch.org),172.233.190.104,prod37client02.academyforinternetresearch.org,63949,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",US,LINODE,172.232.0.0/13
Academy for Internet Research (academyforinternetresearch.org),104.156.155.0/24,,400161,"HAWAIIRESEARCH, US",US,ACDRESEARCH,104.156.155.0/24
Academy for Internet Research (academyforinternetresearch.org),172.233.195.143,prod38client01.academyforinternetresearch.org,63949,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",US,LINODE,172.232.0.0/13
Academy for Internet Research (academyforinternetresearch.org),172.234.207.202,prod01.academyforinternetresearch.org,63949,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",US,LINODE,172.232.0.0/13
Academy for Internet Research (academyforinternetresearch.org),172.234.246.109,dev09client01.academyforinternetresearch.org,63949,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",US,LINODE,172.232.0.0/13
Academy for Internet Research (academyforinternetresearch.org),172.236.233.65,prod06.academyforinternetresearch.org,63949,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",US,LINODE,172.232.0.0/13
Academy for Internet Research (academyforinternetresearch.org),198.74.57.47,prod32client01.academyforinternetresearch.org,63949,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",US,LINODE,198.74.48.0/20
Academy for Internet Research (academyforinternetresearch.org),45.33.28.47,dev06.academyforinternetresearch.org,63949,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",US,LINODE,45.33.0.0/17
Academy for Internet Research (academyforinternetresearch.org),45.33.69.253,dev08client07.academyforinternetresearch.org,63949,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",US,LINODE,45.33.0.0/17
Academy for Internet Research (academyforinternetresearch.org),45.56.101.170,dev14clientintel01.academyforinternetresearch.org,63949,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",US,LINODE,45.56.64.0/18
Academy for Internet Research (academyforinternetresearch.org),45.56.103.133,prod33client01.academyforinternetresearch.org,63949,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",US,LINODE,45.56.64.0/18
Academy for Internet Research (academyforinternetresearch.org),45.56.103.154,prod34client01.academyforinternetresearch.org,63949,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",US,LINODE,45.56.64.0/18
Academy for Internet Research (academyforinternetresearch.org),45.79.190.208,prod35client02.academyforinternetresearch.org,63949,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",US,LINODE,45.79.0.0/16
Academy for Internet Research (academyforinternetresearch.org),45.79.102.191,dev10client01.academyforinternetresearch.org,63949,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",US,LINODE,45.79.0.0/16
Academy for Internet Research (academyforinternetresearch.org),45.79.190.216,prod40client02.academyforinternetresearch.org,63949,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",US,LINODE,45.79.0.0/16
Academy for Internet Research (academyforinternetresearch.org),66.175.208.166,dev07.academyforinternetresearch.org,63949,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",US,LINODE,66.175.208.0/20
Academy for Internet Research (academyforinternetresearch.org),69.164.207.173,prod36client01.academyforinternetresearch.org,,,,,
Academy for Internet Research (academyforinternetresearch.org),69.164.213.157,dev01.academyforinternetresearch.org,,,,,
Academy for Internet Research (academyforinternetresearch.org),96.126.117.80,prod02.academyforinternetresearch.org,,,,,
Academy for Internet Research (academyforinternetresearch.org),97.107.140.120,prod04.academyforinternetresearch.org,,,,,
Rapid7 Project Sonar (rapid7.com),2a02:2498:e004:23::/64,,13213,"UK2NET-AS, GB",GB,Rapid7Labs,2a02:2498:e004:23::/64
